paperid,studyid,reportid,title,keywords,number_of_total_participants,number_of_total_male,number_of_total_female,from_age,to_age,mean_age,sd_age,type_of_visual_display,type_of_audio,type_of_applications,specific_terms,ipq_in_language,is_ipq_used_right,paper_note,total_duration,number_of_user_studies,study_name,duration_of_stay,number_of_study_participants,number_of_study_male,number_of_study_female,from_age_study,to_age_study,mean_age_study,sd_age_study,experiment_design,how_score_is_reported,report_style,report_form,when_the_questionnaire_is_filled,is_score_reported_for_each_time,analysis_techniques,posthoc_tests,finding,number_of_conditions,score_scale,condition_name,element_name,is_interaction,participant_per_element,totalSP,totalINV,totalREAL,totalGP,totalTOTAL,meanSP,meanINV,meanREAL,meanGP,meanTOTAL,sdSP,sdINV,sdREAL,sdGP,sdTOTAL,otherSP,otherINV,otherREAL,otherGP,otherTOTAL,cites,authors,year,source,publisher,articleURL,citesURL,gsRank,queryDate,type,doi,issn,citationURL,volume,issue,startPage,endPage,ecc,citesPerYear,citesPerAuthor,authorCount,age,isIPQUsed,topic,note,standard_total,standard_total_each_item,is_subscale_fully_reported,standard_sp,standard_inv,standard_real,standard_gp,standard_sp_each_item,standard_inv_each_item,standard_real_each_item,standard_gp_each_item,visual_display,likert_scale,rating_scale,file,standard_total_17
52,53,53,Agency and Gender Influence Older Adults' Presence-Related Experiences in an Interactive Virtual Environment,virtual reality; older adults; presence; immersion; flow; gender,78,31,47,54,90,67.65,8.36,3D Graphics - HMD VR,Unknown,Social Science and psychology,,German,Not Sure,,,1,Study 1,6,78,Dec-19,27/20,,,,,between-subject,each component,/Mean/SD/,Chart,Unknown,No,ANOVA,,,4,6,Whole Experiment,Whole Study,No,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,OD Kothgassner; A Goreis; JX Kafka�,2018,��; Behavior; and Social��,liebertpub.com,https://www.liebertpub.com/doi/abs/10.1089/cyber.2017.0691,https://scholar.google.com/scholar?cites=7010771530751205547&as_sdt=2005&sciodt=0;5&hl=en,181,43628,,,,,,,,,1,1,0,4,1,YES,Presence,Unknown Scale,19.66,1.4042857,TRUE,7.565,3.3075,7.385,1.4025,1.513,0.826875,1.84625,1.4025,3D Graphics - HMD VR,7-point,Good,Each Study,75.66
53,54,54,(Not) Alone in the World: Cheating in the Presence of a Virtual Observer,virtual reality experiment; cheating; watching eyes effect,118,,,,,,,Other,Unknown,Social Science and psychology,,Not Mentioned,Not Sure,,20,1,Study 1,,118,,,,,,,between-subject,whole questionnaire,/Mean/SD/,Other,After,No,Wilcoxon ranksum test,,,2,6,Whole Experiment,Whole Study,No,118,,,,,37,,,,,,,,,,12.56,,,,,,1,JM Mol; E van der Heijden�,2018,Available at SSRN��,papers.ssrn.com,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3267125,https://scholar.google.com/scholar?cites=13836168972371255793&as_sdt=2005&sciodt=0;5&hl=en,211,43628,,,,,,,,,1,1,0,3,1,YES,Treatment,,-5,-0.35714287,FALSE,911,911,911,911,911,911,911,911,Projection Display,7-point,Fair,Each Study,51
54,55,55,The impact of immersion on the perception of pornography: A virtual reality study,Virtual reality; Immersion; Pornography; Sexual arousal; Presence; Sexual presence,60,60,0,,,24.97,3.46,3D Graphics - Monoscopic;3D Graphics - HMD VR,Unknown,Social Science and psychology,,Not Mentioned,Not Sure,,,1,Study 1,,60,,,,,,,within-subject,whole questionnaire,/Mean/SD/,Other,After,No,ANOVA,,,2,17,Whole Experiment,Whole Study,No,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,SC Simon; T Greitemeyer,2019,Computers in Human Behavior,Elsevier,https://www.sciencedirect.com/science/article/pii/S0747563218306046,https://scholar.google.com/scholar?cites=16773854235706604204&as_sdt=2005&sciodt=0;5&hl=en,235,43628,,,,,,,,,1,1,1,2,1,YES,Pornography,,-9.87,-0.705,FALSE,911,911,911,911,911,911,911,911,3D Graphics - HMD VR,7-point,Poor,Each Study,46.13
55,56,56,Obstacle Avoidance Method in Real Space for Virtual Reality Immersion,Virtual Reality; immersive feeling; walking assistance,17,16,1,22,25,,,3D Graphics - HMD VR,Unknown,Design and visualization;Interaction techniques,,Not Mentioned,Not Sure,,,1,Study 1,,17,,,,,,,within-subject,each component,/Mean//Other,Chart,After,No,Friedman-test; Wilcoxon signed rank,,,2,6,Whole Experiment,Whole Study,No,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,K Kanamori; N Sakata; T Tominaga�,2018,��on Mixed and��,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8613753/,https://scholar.google.com/scholar?cites=17339562296554789106&as_sdt=2005&sciodt=0;5&hl=en,285,43628,,,,,,,,,1,1,0,4,1,YES,Obstacle Avoidance,Mean(IQR),-0.18,-0.012857143,TRUE,4.45,-0.9,-3.73,1.145,0.89,-0.225,-0.9325,1.145,3D Graphics - HMD VR,7-point,Fair,Each Study,55.82
56,57,57,Heading computation in the human retrosplenial complex during full-body rotation,,20,9,11,20,46,30.25,7.68,3D Graphics - Monoscopic;3D Graphics - HMD VR,Unknown,Interaction techniques;Social Science and psychology,Spatial orientation,Not Mentioned,Not Sure,,,1,Study 1,,20,,,,,,,within-subject,each component,/Mean/SD/,Other,After;Unknown,No,,,,2,6,Whole Experiment,Whole Study,No,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,K Gramann; FU Hohlefeld; L Gehrke; M Klug,2018,BioRxiv,biorxiv.org,https://www.biorxiv.org/content/10.1101/417972v1.abstract,https://scholar.google.com/scholar?cites=1668619713447027396&as_sdt=2005&sciodt=0;5&hl=en,286,43628,,,,,,,,,1,1,0,4,1,YES,,Preprint,-0.25,-0.017857144,TRUE,6.55,-1,-5.8,0.63,1.31,-0.25,-1.45,0.63,3D Graphics - HMD VR,7-point,Fair,Each Study,55.75
57,58,58,Within-and between-session prefrontal cortex response to virtual reality exposure therapy for acrophobia,VRET; prefrontal cortex; fNIRS; phobia; virtual reality; anxiety,13,,,,,42.3,16.57,Projection Display,Unknown,Healthcare and clinical therapies;Social Science and psychology,Exposure Therapy,Not Mentioned,Not Sure,,,1,Study 1,50,13,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,Correlation analysis,,,2,17,Whole Experiment,Whole Study,No,13,,,,,,5.29,3.96,3.96,5.38,4.43,0.93,1.27,1.28,0.96,1.02,,,,,,1,A Landowska; D Roberts; P Eachus�,2018,Frontiers in human��,ncbi.nlm.nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6221970/,https://scholar.google.com/scholar?cites=10200413578083259654&as_sdt=2005&sciodt=0;5&hl=en,301,43628,HTML,,,,,,,,1,1,0,4,1,YES,Exposure Therapy,Unknown Scale,6.02,0.43,TRUE,6.45,-0.16,-0.16,1.38,1.2900001,-0.04,-0.04,1.38,Projection Display,7-point,Fair,Each Study,62.02
58,59,59,The effect of user embodiment in AV cinematic experience,,28,,14,,,21.88,3.67,3D Graphics - HMD VR,Unknown,Social Science and psychology,,Not Mentioned,Not Sure,,60-90,1,Study 1,,28,,,,,,,within-subject,whole questionnaire,/Mean//Other,Chart,After,No,ANOVA,,,4,17,Whole Experiment,Whole Study,No,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,J Chen; G Lee; M Billinghurst; RW Lindeman�,2017,,ir.canterbury.ac.nz,https://ir.canterbury.ac.nz/handle/10092/15405,https://scholar.google.com/scholar?cites=5877088703162291048&as_sdt=2005&sciodt=0;5&hl=en,208,43628,,,,,,,,,1,0.5,0,5,2,YES,Embodiment,Mean(IQR),-9.38,-0.67,FALSE,911,911,911,911,911,911,911,911,3D Graphics - HMD VR,7-point,Poor,Each Study,46.62
59,60,60,Evaluating the Effects of Hand-gesture-based Interaction with Virtual Content in a 360 Movie,,32,,16,19,42,26.97,6.32,3D Graphics - HMD VR,Unknown,Design and visualization;Interaction techniques;Social Science and psychology,,Not Mentioned,Not Sure,,,1,Study 1,,32,,,,,,,within-subject,each component,/Mean//,Other,After,No,ANOVA,,,4,17,Whole Experiment,Whole Study,No,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,H Khan; G Lee; S Hoermann; R Clifford; M Billinghurst�,2017,,ir.canterbury.ac.nz,https://ir.canterbury.ac.nz/handle/10092/15215,https://scholar.google.com/scholar?cites=12814848117432532594&as_sdt=2005&sciodt=0;5&hl=en,229,43628,,,,,,,,,1,0.5,0,6,2,YES,Interaction,Unknown Scale,-2.625,-0.1875,TRUE,-1.4875,1.03,-1.94,0.6325,-0.2975,0.2575,-0.485,0.6325,3D Graphics - HMD VR,7-point,Fair,Each Study,53.375
60,61,61,Presence; Behavioural Realism and Performances in Driving Simulation,virtual reality; driving simulation; presence; autonomous behaviour; user experience; performance evaluation,36,26,10,,,31,,3D Graphics - Monoscopic,Unknown,Education and training;Social Science and psychology,,Not Mentioned,Not Sure,,,1,Study 1,,36,,,,,,,within-subject,each component,/Mean//,Other,After,No,,,,2,-33,Whole Experiment,Whole Study,No,36,,,,,,1.344,0.257,0.097,1.111,,,,,,,,,,,,1,N Pallamin; C Bossard,2016,IFAC-PapersOnLine,Elsevier,https://www.sciencedirect.com/science/article/pii/S2405896316321917,https://scholar.google.com/scholar?cites=17926648975972794852&as_sdt=2005&sciodt=0;5&hl=en,39,43628,,,,,,,,,1,0.33,1,2,3,YES,Simulation,,8.136,0.58114284,TRUE,6.72,1.028,0.388,1.111,1.344,0.257,0.097,1.111,3D Graphics - Monoscopic,7-point,Good,Each Study,64.136
61,62,62,Head turn scaling below the threshold of perception in immersive virtual environments,presence; perception; head tracking manipulation; empirical study; virtual reality; immersive virtual environments,13,12,1,19,45,30.31,8.43,3D Graphics - HMD VR,Stereo sound,Social Science and psychology,,German,Not Sure,,,1,Study 1,,13,,,,,,,within-subject,each component,/Mean/SD/,Other,Unknown,No,ANOVA;Shapiro-Wilk-Test; Bravais-Pearson-correlation,,,2,6,Whole Experiment,Whole Study,No,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,M Westhoven; D Paul; T Alexander,2016,��of the 22nd ACM Conference on��,dl.acm.org,https://dl.acm.org/citation.cfm?id=2993385,https://scholar.google.com/scholar?cites=18088468939950426299&as_sdt=2005&sciodt=0;5&hl=en,75,43628,,,,,,,,,1,0.33,0,3,3,YES,Perception,,9.28,0.6628571,TRUE,7.4166665,1.2133334,-0.46666667,1.1033334,1.4833333,0.30333334,-0.11666667,1.1033334,3D Graphics - HMD VR,7-point,Good,Each Study,65.28
62,63,63,Reactivation and Evaluation of Mastery Experiences Promotes Exposure Benefit in Height Phobia,Acrophobia; Extinction; Exposure; Self-efficacy; Virtual reality,56,,,18,40,,,3D Graphics - HMD VR,Unknown,Healthcare and clinical therapies;Social Science and psychology,,Not Mentioned,Not Sure,,,1,Study 1,,56,,14/12/2012,,,25.25/25.56/25.94,4.41/4.16/3.56,between-subject,whole questionnaire,/Mean/SD/,Other,After,No,,,,2,6,Whole Experiment,Whole Study,No,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F Raeder; ML Woud; S Schneider; C Totzeck�,2019,Cognitive Therapy and��,Springer,https://link.springer.com/article/10.1007/s10608-019-10018-x,,69,43628,HTML,,,,,,,,0,0,0,5,1,YES,Acrophobia,,-8.166667,-0.5833333,FALSE,911,911,911,911,911,911,911,911,3D Graphics - HMD VR,7-point,Poor,Each Study,47.833333
63,64,64,Influence of hearing your steps and environmental sounds in VR while walking,Virtual Reality; Presence; Soundscape; Footsteps; IPQ; head-mounted display,40,11,29,18,34,22.95,4.44,3D Graphics - HMD VR,Stereo sound,Social Science and psychology,,German,Not Sure,,,1,Study 1,,40,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,ANOVA,,,4,-33,Whole Experiment,Whole Study,No,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AC Kern; W Ellermeier,2018,2018 IEEE 4th VR Workshop on Sonic��,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8577177/,,93,43628,,,,,,,,,0,0,0,2,1,YES,Presence,,-0.76666665,-0.054761905,TRUE,1.3,0.28,-2.3466666,0.75,0.26,0.07,-0.58666664,0.75,3D Graphics - HMD VR,7-point,Fair,Each Study,55.23333335
64,65,65,Physical Presence; Social Presence; and Anxiety in Participants with Social Anxiety Disorder During Virtual Cue Exposure,virtual reality exposure therapy; social anxiety disorder; physical presence; social presence; state anxiety; heart rate,24,,17,,,,,3D Graphics - HMD VR,Unknown,Healthcare and clinical therapies;Social Science and psychology,,German,Not Sure,,15,1,Study 1,5,24,,9-Aug,,,22.83/24.08,1.749/2.539,between-subject,each component,/Mean/SD/,Other,After,No,TTest,,,2,17,Whole Experiment,Whole Study,No,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A Felnhofer; H Hlavacs; L Beutl�,2019,��; Behavior; and Social��,liebertpub.com,https://www.liebertpub.com/doi/abs/10.1089/cyber.2018.0221,,113,43628,,,,,,,,,0,0,0,4,1,YES,Exposure Therapy,,0.5,0.035714287,TRUE,1.9500002,1,-2.8,0.35,0.39,0.25,-0.7,0.35,3D Graphics - HMD VR,7-point,Fair,Each Study,56.5
65,66,66,Visuo-tactile Congruency influences the Body Schema during Full Body Ownership Illusion,Full body ownership illusion; Visuo-tactile congruency; Body schema; Movement behavior,40,20,20,,,,,3D Graphics - HMD VR,Unknown,Social Science and psychology,Ownership,German,Not Sure,,,1,Study 1,,40,10-Oct,10-Oct,20/19,30/28,24.15/22.80,2.68/2.48,between-subject,whole questionnaire,TotalScore///Other,Chart,After,No,generalized linear model ,,,2,17,Whole Experiment,Whole Study,No,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M Rubo; M Gamer,2019,,psyarxiv.com,https://psyarxiv.com/pe4v2/,,215,43628,,,,,,,,,0,0,0,2,1,YES,Ownership,Report Mean (SEM),2.45,0.175,FALSE,911,911,911,911,911,911,911,911,3D Graphics - HMD VR,7-point,Fair,Each Study,58.45
66,67,67,Visually Induced Motion Sickness in 360° Videos: Comparing and Combining Visual Optimization Techniques,VR sickness; cybersickness; 360º video; cinematic VR; field of view; content analysis; optical flow,12,6,6,23,47,29.9,6.76,3D Graphics - HMD VR,Unknown,Design and visualization;Social Science and psychology,Motion Sickness,Not Mentioned,Not Sure,,,1,Study 1,3.42,12,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,ANOVA;Pearson’s product-moment correlation,,,2,6,Whole Experiment,Whole Study,No,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P Bala; D Dionísio; V Nisi…,2018,2018 IEEE International …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8699261/,,332,43676,,,,,,,,,0,0,0,4,,DUPLICATED,,,-0.3375,-0.024107143,TRUE,1.2125,0.35,-1.9,0.2075,0.2425,0.0875,-0.475,0.2075,3D Graphics - HMD VR,7-point,Fair,Each Study,55.6625
67,68,68,Live Delivery of Neurosurgical Operating Theatre Experience in Virtual Reality,Virtual reality; 360-degree camera; Stereoscopic VR; Neurosurgery,22,17,5,,,,,3D Graphics - HMD VR,Unknown,Healthcare and clinical therapies;Social Science and psychology,,,Not Sure,,,1,Study 1,,22,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,,,,2,-33,Whole Experiment,Whole Study,No,22,,,,,,1.2,0.88,0.6,2,,1.07,1.31,1.04,0.81,,,,,,,0,M Salmimaa; J Kimmel; T JFairela…,2018,… Symposium Digest of …,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1002/sdtp.12520,,261,43676,,,,,,,,,0,0,0,4,,DUPLICATED,,,11.919999,0.85142857,TRUE,6,3.5200002,2.4,2,1.2,0.88000005,0.6,2,3D Graphics - HMD VR,7-point,Good,Each Study,67.919999
68,69,69,A comparative study of virtual reality methods of interaction and locomotion based on presence; cybersickness and usability,Human-computer interaction; Virtual reality; Interaction Techniques; Virtual environment modeling,48,24,24,18,62,30.59,11.996,3D Graphics - HMD VR,Stereo sound,Interaction techniques;Social Science and psychology,,Not Mentioned,Not Sure,,,1,Study 1,,48,,,,,,,within-subject,each component,/Mean/SD/,Other,Unknown,No,Friedman’s test; Wilcoxon Signed-Ranks,,,2,6,Whole Experiment,Whole Study,No,48,,,,,,4.79,4.46,3.04,5.112,,0.85,1.13,0.996,1.04,,,,,,,0,J Mayor; L Raya; A Sanchez,2019,IEEE Transactions on Emerging��,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8708972/,,256,43628,,,,,,,,,0,0,0,3,1,YES,Interaction Techniques,,14.95,1.0678571,TRUE,8.95,5.84,0.16,2.112,1.79,1.46,0.04,2.112,3D Graphics - HMD VR,7-point,Good,Each Study,70.95
69,70,70,Using Presence Questionnaires in Virtual Reality,Virtual reality; presence; questionnaire; evaluation,36,24,12,19,32,23.81,2.81,3D Graphics - HMD VR,Unknown,Social Science and psychology,Presence,Not Mentioned,Not Sure,,24.2,1,Study 1,2.5,36,,,,,,,within-subject,whole questionnaire,/Mean/SD/,Chart,After;After,No,ANOVA;MANOVA,,,4,17,Whole Experiment,Whole Study,No,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,V Schwind; P Knierim; N Haas; N Henze,2019,,nhenze.net,http://nhenze.net/uploads/Using-Presence-Questionnaires-in-Virtual-Reality.pdf,,261,43628,PDF,,,,,,,,0,0,0,4,1,YES,Presence,,6.657,0.4755,FALSE,911,911,911,911,911,911,911,911,3D Graphics - HMD VR,7-point,Fair,Each Study,62.657
70,71,71,Evaluating the Effects of Realistic Communication Disruptions in VR Training for Aerial Firefighting,Virtual Reality; Simulation; Radio communications; Emergency services; Aerial firefighting,25,22,3,,,,,3D Graphics - Monoscopic,Surround sound,Education and training,,Not Mentioned,Not Sure,,,1,Study 1,,25,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,TTest,,,2,17,Whole Experiment,Whole Study,No,25,,,,,,5.31,4.6,3.1,5.72,4.5,0.864,1.53,0.51,1.021,0.7,,,,,,0,RMS Clifford; S Hoermann; N Marcadet�,2018,��on Virtual Worlds��,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8493423/,,277,43628,,,,,,,,,0,0,0,4,1,YES,Training,,7,0.5,TRUE,6.55,2.4,-3.6,1.72,1.31,0.6,-0.9,1.72,3D Graphics - Monoscopic,7-point,Good,Each Study,63
71,72,72,Virtual Reality Conferencing,virtual reality; virtual reality conferencing; virtual collaboration,10,,,,,,,3D Graphics - HMD VR,Unknown,Interaction techniques;Other,,Not Mentioned,Not Sure,,,1,Study 1,,10,,,,,,,between-subject,each component,/Mean//,Other,After,No,ANOVA,,,2,6,Whole Experiment,Whole Study,No,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PD Pazour; A Janecek�,2018,2018 IEEE International��,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8613638/,,296,43628,,,,,,,,,0,0,0,3,1,YES,Tele-conference,,12.6,0.9,TRUE,8.2,3.9,0.5,1,1.64,0.975,0.125,1,3D Graphics - HMD VR,7-point,Good,Each Study,68.6
72,73,73,Haptic contact in immersive 360° cinematic environment,,32,21,11,18,36,26.25,,3D Graphics - HMD VR,Unknown,Design and visualization;Other,Haptic,Not Mentioned,Not Sure,,,1,Study 1,,32,,,,,,,within-subject,each component,TotalScore//SD/,Other,After,No,ANOVA,,,2,6,Whole Experiment,Whole Study,No,32,22.03,15.84,12.75,,55.25,,,,,,5.84,5.88,4.51,,14.43,,,,,,0,P Sasikumar,2018,,ir.canterbury.ac.nz,https://ir.canterbury.ac.nz/handle/10092/15156,,299,43628,,,,,,,,,0,0,0,1,1,YES,Haptic,,13.25,0.9464286,TRUE,7.03,3.84,0.75,1.63,1.406,0.96,0.1875,1.63,3D Graphics - HMD VR,7-point,Good,Each Study,69.25
73,74,74,Comfortable Immersive Analytics with the VirtualDesk Metaphor: Case Studies and Perspectives,,44,,,,,,,3D Graphics - HMD VR,Unknown,Design and visualization;Social Science and psychology,Immersive,Not Mentioned,Not Sure,,,1,Study 1,25,44,,,,,,,between-subject,each component,/Mean/SD/,Chart,Unknown,No,,,,2,17,Whole Experiment,Whole Study,No,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JA Wagner Filho; CMDS Freitas�,2019,IEEE computer graphics��,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8640072/,,308,43628,,,,,,,,,0,0,0,3,1,YES,Immersion,,-1.16,-0.08285714,TRUE,3,-0.52,-3.64,0.64,0.6,-0.13,-0.91,0.64,3D Graphics - HMD VR,7-point,Fair,Each Study,54.84
74,75,75,The influence of social entities in virtual reality games on player experience and immersion,social presence; loneliness; social interaction; multi-player; virtual agents; digital games,75,34,41,19,58,25.1,7.27,3D Graphics - HMD VR,Stereo sound,Entertainment and game;Social Science and psychology,,Not Mentioned,Not Sure,,,1,Study 1,7.5,75,,,,,,,between-subject,whole questionnaire,/Mean/SD/,Other,Unknown,No,ANOVA,,,2,6,Whole Experiment,Whole Study,No,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S Liszio; K Emmerich; M Masuch,2017,��on the Foundations of Digital Games,dl.acm.org,https://dl.acm.org/citation.cfm?id=3102086,,226,43628,,,,,,,,,0,0,0,3,2,YES,Social Presence,,20.076,1.434,FALSE,911,911,911,911,911,911,911,911,3D Graphics - HMD VR,7-point,Good,Each Study,76.076
75,76,76,ReflectiveSpineVR: an immersive spine surgery simulation with interaction history capabilities,Immersive Simulation; Spine Surgery; Interaction History; Education,6,5,1,,,,,3D Graphics - HMD VR,Unknown,Design and visualization;Education and training;Healthcare and clinical therapies,,Not Mentioned,Not Sure,,,1,Study 1,,6,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,,,,2,17,Whole Experiment,Whole Study,No,6,,,,,64,6,4.1,3.41,6,,1,1,0.97,1,4.7,,,,,,0,AE Mostafa; WHA Ryu; K Takashima; S Chan�,2017,Proceedings of the 5th��,dl.acm.org,https://dl.acm.org/citation.cfm?id=3132174,,315,43628,,,,,,,,,0,0,0,5,2,YES,Simulation,,8,0.5714286,TRUE,10,0.4,-2.36,2,2,0.1,-0.59,2,3D Graphics - HMD VR,7-point,Good,Each Study,64
76,77,77,The relationship between human factors and presence experienced in Virtual Environments (VEs),,80,37,43,,,,,3D Graphics - HMD VR,Stereo sound,Social Science and psychology;Other,,German,Not Sure,,,1,Study 1,12/7.5,80,,,,,,,between-subject,whole questionnaire,/Mean/SD/,Other,After,No,TTest,,,2,17,Whole Experiment,Whole Study,No,80,,,,,59.08,,,,,,,,,,12.25,,,,,,0,AA Schniering,2016,,essay.utwente.nl,http://essay.utwente.nl/69832/1/Schniering_BA_BMS.pdf,,165,43628,PDF,,,,,,,,0,0,0,1,3,YES,Perception,,3.08,0.22,FALSE,911,911,911,911,911,911,911,911,3D Graphics - HMD VR,7-point,Fair,Each Study,59.08
77,78,78,The Influence of Visual Realism on the Sense of Presence in Virtual Environments,,52,32,20,18,48,22.81,5.94,3D Graphics - HMD VR,Unknown,Social Science and psychology,,Not Mentioned,Not Sure,,,1,Study 1,,52,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,ANOVA;Pearson correlations,,,4,17,Whole Experiment,Whole Study,No,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y Toczek,2016,,research.tue.nl,https://research.tue.nl/files/46946153/855787-1.pdf,,169,43628,PDF,,,,,,,,0,0,0,1,3,YES,Presence,Unknown Scale,-6.125,-0.4375,TRUE,0.775,0.03,-7.04,0.22,0.155,0.0075,-1.76,0.22,3D Graphics - HMD VR,7-point,Fair,Each Study,49.875
78,79,79,Evaluating presence perception in video-mediated activities in real time,Presence Perception; Gaze Tracking; Evaluate; Video; Education,22,,,,,,,Other,Stereo sound,Social Science and psychology,,Not Mentioned,Not Sure,,,1,Study 1,,22,,,,,,,between-subject,each component,/Mean//,Other,Unknown,No,TTest,,,2,-33,Whole Experiment,Whole Study,No,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FY Obana; R Tori; E Ranzini,2015,Proceedings of the International��,search.proquest.com,http://search.proquest.com/openview/ec0d4e6d828f7569bfcd0b7f995ac43d/1?pq-origsite=gscholar&cbl=1976356,,121,43628,HTML,,,,,,,,0,0,0,3,4,YES,Perception,Unknown Scale,24.714998,1.7653571,TRUE,9.575,7.24,7.9,1.5850002,1.9149998,1.81,1.975,1.5850002,3D Graphics - Monoscopic,7-point,Excellent,Each Study,80.714998
79,80,80,The Experience of Exposure Across Racial Groups: Differences in Presence During Virtual Reality Exposure Therapy for Social Phobia Across African, Exposure therapy; Virtual Reality Exposure; Experience of treatment; African American; Women,24,,24,21,60,39.96,10.89,3D Graphics - HMD VR,Unknown,Healthcare and clinical therapies;Social Science and psychology,,Not Mentioned,Not Sure,,,1,Study 1,,24,,15-Sep,,,,,between-subject,each component,/Mean/SD/,Other,After,No,TTest,,,2,17,Whole Experiment,Whole Study,No,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N Mehta,2012,,scholarworks.gsu.edu,https://scholarworks.gsu.edu/cgi/viewcontent.cgi?article=1102&context=psych_theses,,123,43628,PDF,,,,,,,,0,0,0,1,7,YES,Exposure Therapy,Not Clear Number Of Participants,3.055,0.21821429,TRUE,0.595,1.4699999,-0.054999996,1.045,0.118999995,0.36749998,-0.013749999,1.045,3D Graphics - HMD VR,7-point,Fair,Each Study,59.055
80,81,81,Applicability of synthetic environments for product design,synthetic environment; product design; dynamic prototyping; industrial design; validation,16,9,7,19,30,24,,Projection Display,Unknown,Design and visualization,,Not Mentioned,Not Sure,,,1,Study 1,20,16,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,MANOVA,,,2,6,Whole Experiment,Whole Study,No,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H Wang; F Meijer; J Miedema�,2008,Proceedings of the 7th��,ris.utwente.nl,https://ris.utwente.nl/ws/portalfiles/portal/5403453/Wang08-Applicability_of_synthetic_environments_for_product_design.pdf,,265,43628,PDF,,,,,,,,0,0,0,4,11,YES,Synthetic Environment,,15.47,1.105,TRUE,7.4,4.88,2.46,0.73,1.48,1.22,0.615,0.73,Projection Display,7-point,Good,Each Study,71.47
81,82,82,Towards lean and elegant self-motion simulation in virtual reality,Vection; self-motion illusion; spatial orientation; virtual reality; motion simulation; human factors; psychophysics; multi-modal cue integration; vibrations; auditory cues,53,,,,,,,Projection Display,Surround sound,Social Science and psychology,,Not Mentioned,Not Sure,,,3,Study 1,,12,,,,,,,within-subject,each component,/Mean/SD/,Chart,After,No,TTest;two-tailed t-test,,,2,17,Whole Experiment,Whole Study,No,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,BE Riecke; J Schulte-Pelkum…,2005,… . VR 2005. Virtual …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/1492765/,https://scholar.google.com/scholar?cites=3287997044791535940&as_sdt=2005&sciodt=0;5&hl=en,48,43627,,,,,,,,,79,5.64,26,3,,YES,Vection,,-4.06,-0.29,TRUE,-2.4,0.38,-2.46,-0.125,-0.48,0.095,-0.615,-0.125,Projection Display,7-point,Fair,Each Study,51.94
