paperid,studyid,reportid,title,keywords,number_of_total_participants,number_of_total_male,number_of_total_female,from_age,to_age,mean_age,sd_age,type_of_visual_display,type_of_audio,type_of_applications,specific_terms,ipq_in_language,is_ipq_used_right,paper_note,total_duration,number_of_user_studies,study_name,duration_of_stay,number_of_study_participants,number_of_study_male,number_of_study_female,from_age_study,to_age_study,mean_age_study,sd_age_study,experiment_design,how_score_is_reported,report_style,report_form,when_the_questionnaire_is_filled,is_score_reported_for_each_time,analysis_techniques,posthoc_tests,finding,number_of_conditions,score_scale,condition_name,element_name,is_interaction,participant_per_element,totalSP,totalINV,totalREAL,totalGP,totalTOTAL,meanSP,meanINV,meanREAL,meanGP,meanTOTAL,sdSP,sdINV,sdREAL,sdGP,sdTOTAL,otherSP,otherINV,otherREAL,otherGP,otherTOTAL,cites,authors,year,source,publisher,articleURL,citesURL,gsRank,queryDate,type,doi,issn,citationURL,volume,issue,startPage,endPage,ecc,citesPerYear,citesPerAuthor,authorCount,age,isIPQUsed,topic,note,standard_total,standard_total_each_item,is_subscale_fully_reported,standard_sp,standard_inv,standard_real,standard_gp,standard_sp_each_item,standard_inv_each_item,standard_real_each_item,standard_gp_each_item,visual_display
87,90,218,Preliminary findings on the Virtual Environment for Radiotherapy Training (VERT) system: simulator sickness and presence,"VERT, SSQ, sickness, presence, radiotherapy",75,,,,,28.3,11.8,Projection Display,Unknown,"Healthcare and clinical therapies,Social Science and psychology",,Not Mentioned,Not Sure,,,1,Study 1,67.9,75,,,,,,,within-subject,each component,/Mean//,Chart,After,No,Spearman’s correlation,,,2,6,Whole Experiment,Whole Study,No,75,,,,,,3.4,2.8,2.6,4.25,,,,,,,,,,,,9,DM Flinton; N White,2009,Journal of Radiotherapy in Practice,cambridge.org,https://www.cambridge.org/core/journals/journal-of-radiotherapy-in-practice/article/preliminary-findings-on-the-virtual-environment-for-radiotherapy-training-vert-system-simulator-sickness-and-presence/3E22777C5B4B3CB520314E3D82E30F3F,https://scholar.google.com/scholar?cites=7889578849703016578&as_sdt=2005&sciodt=0;5&hl=en,302,43627,,,,,,,,,9,0.9,5,2,,YES,Radiotherapy Training,,-0.4,-0.028571429,TRUE,2,-0.8,-1.6,1.25,0.4,-0.2,-0.4,1.25,Projection Display
98,102,244,Virtual Conversation: Automated free speech dialogue with a computer character,,26,,,,,,,Projection Display,Stereo sound,"Healthcare and clinical therapies,Social Science and psychology",,Not Mentioned,Yes,,1.5,2,Study 1,,24,17,7,17,66,32.6,13.4,within-subject,each component,/Mean/SD/,Other,After,No,MANOVA,,,2,6,Whole Experiment,Whole Study,No,24,,,,,,3.4,3.28,2.51,3.46,,1.14,1.52,1.13,1.44,,,,,,,0,N Ter Heijden,2011,,repository.tudelft.nl,https://repository.tudelft.nl/islandora/object/uuid:f139cd09-1db6-439c-941a-f9a66dd9df6b/,,856,43627,,,,,,,,,0,0,0,1,,YES,Virtual Conversation,,1.16,0.082857143,TRUE,2,1.12,-1.96,0.46,0.4,0.28,-0.49,0.46,Projection Display
116,124,295,Distraction of attention with the use of virtual reality. Influence of the level of game complexity on the level of experienced pain,"Virtual Reality, Pain, Attention distraction, Cold Pressor Test, Video games",31,12,19,20/19,24/30,22.42/21.37,1.51/2.34,3D Graphics - HMD VR,Stereo sound,"Healthcare and clinical therapies,Social Science and psychology",,Not Mentioned,Not Sure,,,1,Study 1,4,31,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,Parametric statistics,,,4,-33,GroupxVR,Pain TolerantxHigh Complexity,Yes,31,,,,,,0.4,0.25,-2.13,1.71,,1.46,0.88,0.47,1.7,,,,,,,3,J Piskorz; M Czub,2014,Polish Psychological Bulletin,degruyter.com,https://www.degruyter.com/downloadpdf/j/ppb.2014.45.issue-4/ppb-2014-0058/ppb-2014-0058.xml,https://scholar.google.com/scholar?cites=8909671389347806897&as_sdt=2005&sciodt=0;5&hl=en,175,43676,PDF,,,,,,,,3,0.6,2,2,,YES,Pain,,-5.52,-0.394285714,TRUE,2,1,-8.52,1.71,0.4,0.25,-2.13,1.71,3D Graphics - HMD VR
117,125,299,Here's Looking At You Anyway!: How Important is Realistic Gaze Behavior in Co-located Social Virtual Reality Games?,"Gaze Behavior, Social Virtual Reality, Eye Tracking, Head-mounted Display",42,24,17,18,53,27.5,,3D Graphics - HMD VR,Unknown,"Entertainment and game,Social Science and psychology",,,Not Sure,,45,1,Study 1,16,42,8/08/2008,6/06/2005,,,,,between-subject,each component,/Mean/SD/,Chart,After,No,Spearman’s correlation test,,,2,17,Group,Eye-tracked gaze,No,14,,,,,,4.4,3.91,4.52,5.71,,0.43,0.57,0.5,0.89,,,,,,,3,S Seele; S Misztal; H Buhler; R Herpers…,2017,Proceedings of the …,dl.acm.org,https://dl.acm.org/citation.cfm?id=3116619,https://scholar.google.com/scholar?cites=7497006300627109154&as_sdt=2005&sciodt=0;5&hl=en,316,43676,,,,,,,,,3,1.5,1,5,,YES,Gaze Behavior,Unknown Scale,3.72,0.265714286,TRUE,2,-0.36,2.08,1.71,0.4,-0.09,0.52,1.71,3D Graphics - HMD VR
128,136,324,The Influence of Autonomous Movement on Adverse Events in Relaxing Virtual Environments Using a Head-Mounted Display: An Exploratory Study,"Virtual Reality, adverse events, Cybersickness, Head-Mounted Display, HMD",30,,,18,63,39.5,11.7,3D Graphics - HMD VR,Unknown,"Design and visualization,Interaction techniques,Social Science and psychology",,Not Mentioned,Not Sure,,,1,Study 1,,30,,,,,,,within-subject,each component,/Mean/SD/,Other,Unknown,No,TTest,,,2,17,Gender,Women,No,18,,,,,,4.4,3.6,2.8,4.5,,0.9,1.9,1.5,1.8,,,,,,,0,D Riedl; FL Loth; S Eppler; B Holzner…,2019,Journal of Virtual Reality …,jvrb.org,https://www.jvrb.org/past-issues/15.2018/4819,,395,43676,,,,,,,,,0,0,0,5,,YES,Autonomous movement,Unknown Scale,-4.4,-0.314285714,TRUE,2,-1.6,-4.8,0.5,0.4,-0.4,-1.2,0.5,3D Graphics - HMD VR
77,78,194,The Influence of Visual Realism on the Sense of Presence in Virtual Environments,,52,32,20,18,48,22.81,5.94,3D Graphics - HMD VR,Unknown,Social Science and psychology,,Not Mentioned,Not Sure,,,1,Study 1,,52,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,"ANOVA,Pearson correlations",,,4,17,OrderxRealism,Unrealistic FirstxRealistic,Yes,24,,,,,,4.42,4.15,2.49,4.33,3.75,0.6,1.04,0.93,0.92,0.54,,,,,,0,Y Toczek,2016,,research.tue.nl,https://research.tue.nl/files/46946153/855787-1.pdf,,169,43628,PDF,,,,,,,,0,0,0,1,3,YES,Presence,Unknown Scale,-3.5,-0.25,TRUE,2.1,0.6,-6.04,0.33,0.42,0.15,-1.51,0.33,3D Graphics - HMD VR
48,49,123,"Challenging gender differences in physical presence: Affective states, spatial abilities and presence in a relaxing virtual park","Physical Presence, Virtual Environment, Gender Difference, Spatial Ability",28,14,14,,,26.29/23.93,3.791/2.895,3D Graphics - HMD VR,Unknown,Social Science and psychology,Physical Presence,Not Mentioned,Not Sure,,,1,Study 1,5,28,14,14,,,,,between-subject,each component,/Mean//Other,Chart,Unknown,No,TTest,,,2,6,Gender,Male,No,14,17.28,17.39,11.62,3.04,,,,,,,,,,,,0.94,1.01,0.94,1.05,,2,A Felnhofer; T Hetterle; M Schmidt�,2014,��Presence��,researchgate.net,https://www.researchgate.net/profile/Anna_Felnhofer/publication/259632793_Challenging_gender_differences_in_physical_presence_Affective_states_spatial_abilities_and_presence_in_a_relaxing_virtual_park/links/00b4952cfaf0f131a3000000/Challenging-gender-differences-in-physical-presence-Affective-states-spatial-abilities-and-presence-in-a-relaxing-virtual-park.pdf,https://scholar.google.com/scholar?cites=12437203463310300111&as_sdt=2005&sciodt=0;5&hl=en,23,43628,PDF,,,,,,,,2,0.4,1,4,5,YES,Physical Presence,Unknown Scale,7.33,0.523571429,TRUE,2.28,5.39,-0.38,0.04,0.456,1.3475,-0.095,0.04,3D Graphics - HMD VR
52,53,134,Agency and Gender Influence Older Adults' Presence-Related Experiences in an Interactive Virtual Environment,"virtual reality, older adults, presence, immersion, flow, gender",78,31,47,54,90,67.65,8.36,3D Graphics - HMD VR,Unknown,Social Science and psychology,,German,Not Sure,,,1,Study 1,6,78,Dec-19,27/20,,,,,between-subject,each component,/Mean/SD/,Chart,Unknown,No,ANOVA,,,4,6,ConditionxGender,agentxFemale,Yes,39,17.38,17.32,24.6,2.95,,,,,,,1.82,1.59,0.8,0.46,,,,,,,1,OD Kothgassner; A Goreis; JX Kafka�,2018,��; Behavior; and Social��,liebertpub.com,https://www.liebertpub.com/doi/abs/10.1089/cyber.2017.0691,https://scholar.google.com/scholar?cites=7010771530751205547&as_sdt=2005&sciodt=0;5&hl=en,181,43628,,,,,,,,,1,1,0,4,1,YES,Presence,Unknown Scale,20.25,1.446428571,TRUE,2.38,5.32,12.6,-0.05,0.476,1.33,3.15,-0.05,3D Graphics - HMD VR
44,45,113,Effects of personal relevance and simulated darkness on the affective appraisal of a virtual environment,"Affective appraisal, Virtual environment, Fear of darkness, Emotion, Personal relevance",72,0,72,12,32,22.2,2.9,3D Graphics - Monoscopic,Unknown,"Healthcare and clinical therapies,Social Science and psychology",Fear of darkness,Not Mentioned,Not Sure,,,1,Study 1,10,72,,,,,,,between-subject,each component,/Mean/SD/,Other,After,No,ANOVA,,,4,-33,Simulated lightingxFictitious task,DaylightxDaylight,Yes,12,,,,,,0.48,0.58,-0.29,0.58,,0.99,1.01,0.77,1.56,,,,,,,3,A Toet; JM Houtkamp; PE Vreugdenhil,2016,PeerJ,peerj.com,https://peerj.com/articles/1743/?utm_source=TrendMD&utm_campaign=PeerJ_TrendMD_1&utm_medium=TrendMD,https://scholar.google.com/scholar?cites=2623486685510651979&as_sdt=2005&sciodt=0;5&hl=en,199,43628,HTML,,,,,,,,3,1,1,3,3,YES,Fear,Unknown Scale,3.56,0.254285714,TRUE,2.4,2.32,-1.16,0.58,0.48,0.58,-0.29,0.58,3D Graphics - Monoscopic
111,119,284,Service-field simulator using MR techniques: Behavior comparison in real and virtual environments,"Service­field  simulator,  behavior  comparison, augmented virtuality, omni­directional display, hands­free, avatar",5,2,3,,,,,Projection Display,Unknown,"Social Science and psychology,Other",Simulator,Not Mentioned,Not Sure,,,1,Study 1,,5,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,,,,2,6,Whole Experiment,Whole Study,No,5,,,,,,3.48,3.85,2,4.8,,1.29,0.76,0.35,0.8,,,,,,,10,J Hyun; Y Habuchi; A Park…,2010,Proceedings on …,pdfs.semanticscholar.org,https://pdfs.semanticscholar.org/9b35/26c5a1f8c2851ebe503ffb90d808bc4b7f46.pdf,https://scholar.google.com/scholar?cites=9940898064075571261&as_sdt=2005&sciodt=0;5&hl=en,111,43676,PDF,,,,,,,,10,1.11,3,4,,YES,Simulator,,1.8,0.128571429,TRUE,2.4,3.4,-4,1.8,0.48,0.85,-1,1.8,Projection Display
122,130,309,Effects of simulated darkness on the affective appraisal of a virtual environment,,72,,,17,32,22.2,2.9,3D Graphics - Monoscopic,Stereo sound,"Design and visualization,Social Science and psychology",1,Not Mentioned,Not Sure,,,1,Study 1,10,72,,,,,,,between-subject,each component,/Mean/SD/,Other,After,No,MANOVA,,,2,6,Condition,D/D,No,12,,,,,,3.48,3.58,2.71,3.58,,0.99,1.01,0.77,1.56,,,,,,,0,A Toet; JM Houtkamp; PE Vreugdenhil,2015,PeerJ PrePrints,peerj.com,https://peerj.com/preprints/1456,,336,43676,,,,,,,,,0,0,0,3,,YES,Simulated darkness,Unknown Scale,3.56,0.254285714,TRUE,2.4,2.32,-1.16,0.58,0.48,0.58,-0.29,0.58,3D Graphics - Monoscopic
129,137,327,How to Observe Users' Movements in Virtual Environments: Viewpoint Control in a Power Wheelchair Simulator,"user observation, virtual reality, interaction techniques, immersion, driving simulator",15,4,11,23,55,34.9,9.4,3D Graphics - HMD VR,Unknown,"Education and training,Interaction techniques,Social Science and psychology",,Not Mentioned,Not Sure,,40,1,Study 1,,15,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,"ANOVA,Tukey’s",,,2,-33,Viewpoint,Walk,No,15,2.4,1.1,0.3,2.6,,,,,,,0.93,0.9,0.98,0.8,,,,,,,0,A Alshaer; D O'Hare; P Archambault…,2019,Human …,journals.sagepub.com,https://journals.sagepub.com/doi/abs/10.1177/0018720819853682,,409,43676,,,,,,,,,0,0,0,4,,YES,Simulator,Said 13 items but report 4 subscales,6.4,0.457142857,TRUE,2.4,1.1,0.3,2.6,0.48,0.275,0.075,2.6,3D Graphics - HMD VR
133,141,335,Enhancing User Experience with Olfaction in Virtual Reality,,10,5,5,,,28.3,1.34,3D Graphics - HMD VR,Unknown,"Design and visualization,Entertainment and game,Social Science and psychology",,Not Mentioned,Not Sure,,,1,Study 1,,10,,,,,,,within-subject,each item,/Mean//,Other,After,No,Mann-Whitney U-Test; Wilcoxon Signed-Rank Test,,,4,17,OdourxGroup,OdourxO-NO,Yes,10,,,,,,,,,,,,,,,,,,,,,0,MH Braun,2019,,openaccess.city.ac.uk,http://openaccess.city.ac.uk/id/eprint/22379,,561,43676,,,,,,,,,0,0,0,1,,YES,Olfaction,,1.2,0.085714286,TRUE,2.4,0.2,-3.3,1.9,0.48,0.05,-0.825,1.9,3D Graphics - HMD VR
21,22,52,Trier Social Stress Test in vivo and in virtual reality: Dissociation of response domains,"Virtual reality, Skin conductance level, Salivary cortisol, Heart rate, Social stress, Trier Social Stress Test (TSST)",45,45,0,,,23.76,2.52,3D Graphics - HMD VR,Stereo sound,Social Science and psychology,Stress,Not Mentioned,Yes,,,1,Study 1,9,45,,,,,,,between-subject,each component,/Mean/SD/,Other,After,No,,,,1,-33,Group,VR,No,15,,,,,,0.49,-0.6,-0.7,0.07,,1.01,1.08,0.98,1.62,,,,,,,18,Y Shiban; J Diemer; S Brandl; R Zack�,2016,International Journal of��,Elsevier,https://www.sciencedirect.com/science/article/pii/S0167876016307231,https://scholar.google.com/scholar?cites=14327464664590115311&as_sdt=2005&sciodt=0;5&hl=en,60,43628,,,,,,,,,18,6,4,5,3,YES,Stress,,-2.75,-0.196428571,TRUE,2.45,-2.4,-2.8,0.07,0.49,-0.6,-0.7,0.07,3D Graphics - HMD VR
73,74,183,Comfortable Immersive Analytics with the VirtualDesk Metaphor: Case Studies and Perspectives,,44,,,,,,,3D Graphics - HMD VR,Unknown,"Design and visualization,Social Science and psychology",Immersive,Not Mentioned,Not Sure,,,1,Study 1,25,44,,,,,,,between-subject,each component,/Mean/SD/,Chart,Unknown,No,,,,2,17,Case Study,2,No,20,,,,,,4.5,3.66,3.07,3.89,,0.88,0.81,0.68,1.65,,,,,,,0,JA Wagner Filho; CMDS Freitas�,2019,IEEE computer graphics��,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8640072/,,308,43628,,,,,,,,,0,0,0,3,1,YES,Immersion,,-2.58,-0.184285714,TRUE,2.5,-1.36,-3.72,-0.11,0.5,-0.34,-0.93,-0.11,3D Graphics - HMD VR
105,110,259,Darkness-enhanced startle responses in ecologically valid environments: a virtual tunnel driving experiment,"Startle reflex, Context, Anxiety, Virtual reality",26,,19,19,47,22.31,5.45,3D Graphics - HMD VR,Stereo sound,"Healthcare and clinical therapies,Social Science and psychology",,Not Mentioned,Not Sure,,,1,Study 1,,26,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,MANOVA,,,2,-33,Condition,Active,No,26,,,,,,0.55,0.31,-0.64,0.15,,1.16,1.26,1.19,1.49,,,,,,,53,A Mühlberger; MJ Wieser; P Pauli,2008,Biological psychology,Elsevier,https://www.sciencedirect.com/science/article/pii/S0301051107001500,https://scholar.google.com/scholar?cites=2155145112227060337&as_sdt=2005&sciodt=0;5&hl=en,113,43676,,,,,,,,,53,4.82,18,3,,YES,Anxiety,Unknown Scale,1.43,0.102142857,TRUE,2.75,1.24,-2.56,0.15,0.55,0.31,-0.64,0.15,3D Graphics - HMD VR
90,93,226,Exploring vertical navigation within a virtual environment: a staircase experience,,180,90,90,18,34,22.39,2.17,3D Graphics - Monoscopic,Unknown,"Design and visualization,Interaction techniques,Social Science and psychology",,Not Mentioned,Not Sure,,,1,Study 1,,180,45/45,45/45,,,,,within-subject,each component,/Mean/SD/,Other,After,No,Chi-square analysis,,,2,17,Gender,Female,No,90,,,,,,4.56,3.87,3.41,5.07,,1,1.19,0.89,1.43,,,,,,,2,İS Memikoğlu,2012,,dspace.bilkent.edu.tr,http://dspace.bilkent.edu.tr/handle/11693/15845,https://scholar.google.com/scholar?cites=14799894205204665334&as_sdt=2005&sciodt=0;5&hl=en,475,43627,,,,,,,,,2,0.29,2,1,,YES,Navigation,,-0.08,-0.005714286,TRUE,2.8,-0.52,-2.36,1.07,0.56,-0.13,-0.59,1.07,3D Graphics - Monoscopic
102,107,254,Guidelines on successfully porting non-immersive games to virtual reality: a case study in minecraft,"Virtual reality, user study, video games, emotions, Minecraft",14,10,,18,31,21.07,3.76,"3D Graphics - Monoscopic,3D Graphics - HMD VR",Stereo sound,"Entertainment and game,Social Science and psychology",,Not Mentioned,Not Sure,,,1,Study 1,,14,,,,,,,within-subject,each component,/Mean/SD/,Chart,After,No,Linear mixed model,,,4,17,EnvironmentxOrder,Desktopx2,Yes,14,,,,,,4.56,4.09,3.38,5,,,,,,,,,,,,4,J Porter III; M Boyer; A Robb,2018,… of the 2018 Annual Symposium on …,dl.acm.org,https://dl.acm.org/citation.cfm?id=3242677,https://scholar.google.com/scholar?cites=3495142269655943602&as_sdt=2005&sciodt=0;5&hl=en,11,43676,,,,,,,,,4,4,1,,,YES,Game Porting,,0.68,0.048571429,TRUE,2.8,0.36,-2.48,1,0.56,0.09,-0.62,1,3D Graphics - Monoscopic
125,133,318,A Metro World Prototype for Virtual Reality Exposure Therapy of Agoraphobia,,20,,,,,,,3D Graphics - HMD VR,Stereo sound,"Healthcare and clinical therapies,Social Science and psychology",,Not Mentioned,Not Sure,,,1,Study 1,7,20,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,Reliability analysis,,,2,6,Session,1,No,20,,,,,,3.56,2.6375,2.7,3.7,,0.796307,0.635957,0.541684,0.864505,,,,,,,0,FN Rahayu; MA Neerincx; C van der Mast…,2003,Delft University of …,mmi.tudelft.nl,http://mmi.tudelft.nl/vret/images/0/07/A_Metro_World_Prototype_for_Virtual_Reality_Exposure_Therapy_of_Agoraphobia.pdf,,330,43676,PDF,,,,,,,,0,0,0,4,,YES,Agoraphobia,,0.15,0.010714286,TRUE,2.8,-1.45,-1.2,0.7,0.56,-0.3625,-0.3,0.7,3D Graphics - HMD VR
66,67,166,Visually Induced Motion Sickness in 360° Videos: Comparing and Combining Visual Optimization Techniques,"VR sickness, cybersickness, 360º video, cinematic VR, field of view, content analysis, optical flow",12,6,6,23,47,29.9,6.76,3D Graphics - HMD VR,Unknown,"Design and visualization,Social Science and psychology",Motion Sickness,Not Mentioned,Not Sure,,,1,Study 1,3.42,12,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,"ANOVA,Pearson’s product-moment correlation",,,2,6,Condition,C1,No,12,,,,,,3.57,3.27,2.6,3.83,,1.2,0.69,0.71,1.75,,,,,,,0,P Bala; D Dionísio; V Nisi…,2018,2018 IEEE International …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8699261/,,332,43676,,,,,,,,,0,0,0,4,,DUPLICATED,,,2.33,0.166428571,TRUE,2.85,1.08,-1.6,0.83,0.57,0.27,-0.4,0.83,3D Graphics - HMD VR
102,107,255,Guidelines on successfully porting non-immersive games to virtual reality: a case study in minecraft,"Virtual reality, user study, video games, emotions, Minecraft",14,10,,18,31,21.07,3.76,"3D Graphics - Monoscopic,3D Graphics - HMD VR",Stereo sound,"Entertainment and game,Social Science and psychology",,Not Mentioned,Not Sure,,,1,Study 1,,14,,,,,,,within-subject,each component,/Mean/SD/,Chart,After,No,Linear mixed model,,,4,17,EnvironmentxOrder,Desktopx3,Yes,14,,,,,,4.57,4.06,3.27,4.72,,,,,,,,,,,,4,J Porter III; M Boyer; A Robb,2018,… of the 2018 Annual Symposium on …,dl.acm.org,https://dl.acm.org/citation.cfm?id=3242677,https://scholar.google.com/scholar?cites=3495142269655943602&as_sdt=2005&sciodt=0;5&hl=en,11,43676,,,,,,,,,4,4,1,,,YES,Game Porting,,0.17,0.012142857,TRUE,2.85,0.24,-2.92,0.72,0.57,0.06,-0.73,0.72,3D Graphics - Monoscopic
6,6,22,The relationship between individual characteristics and experienced presence,"Individual characteristics, Presence, Cybersickness, Public  speaking  world, Neutral  world,  Stereoscopy",88,53,35,18,70,28,6.3,3D Graphics - HMD VR,Stereo sound,Social Science and psychology,Individual characteristics,Not Mentioned,Not Sure,,90 (whole experiment),1,Study 1,,88,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,"TTest,Correlation analyses",,,1,6,VE,Stereoscopic  public  speaking  world ,No,88,,,,,,3.59,3.56,2.73,3.61,,1.39,1.48,1.18,1.64,,,,,,,48,Y Ling; HT Nefs; WP Brinkman; C Qu�,2013,Computers in Human��,Elsevier,https://www.sciencedirect.com/science/article/pii/S0747563212003391,https://scholar.google.com/scholar?cites=2034754833935903691&as_sdt=2005&sciodt=0;5&hl=en,42,43628,,,,,,,,,48,8,10,5,6,YES,Individual Characteristics,Unknown Scale,4.11,0.293571429,TRUE,2.95,2.24,-1.08,0.61,0.59,0.56,-0.27,0.61,3D Graphics - HMD VR
90,93,225,Exploring vertical navigation within a virtual environment: a staircase experience,,180,90,90,18,34,22.39,2.17,3D Graphics - Monoscopic,Unknown,"Design and visualization,Interaction techniques,Social Science and psychology",,Not Mentioned,Not Sure,,,1,Study 1,,180,45/45,45/45,,,,,within-subject,each component,/Mean/SD/,Other,After,No,Chi-square analysis,,,2,17,Gender,Male,No,90,,,,,,4.6,3.61,3.45,5.27,,0.84,0.99,0.77,1.36,,,,,,,2,İS Memikoğlu,2012,,dspace.bilkent.edu.tr,http://dspace.bilkent.edu.tr/handle/11693/15845,https://scholar.google.com/scholar?cites=14799894205204665334&as_sdt=2005&sciodt=0;5&hl=en,475,43627,,,,,,,,,2,0.29,2,1,,YES,Navigation,,-0.76,-0.054285714,TRUE,3,-1.56,-2.2,1.27,0.6,-0.39,-0.55,1.27,3D Graphics - Monoscopic
4,4,15,Is virtual reality emotionally arousing? Investigating five emotion inducing virtual park scenarios,"Virtual reality, Presence, Mood induction, Emotion, Physiological measure, Electrodermal activity",120,59,61,,,24.89,4.398,3D Graphics - HMD VR,Unknown,Social Science and psychology,Emotion,German,Not Sure,,,1,Study 1,,120,,,,,,,between-subject,each component,/Mean/SD/,Other,Unknown,No,MANOVA,,Did not find this link between presence and self-reported emotional states. ,1,17,VE,Anxiety,No,24,23.08,16.5,14.88,4.75,,,,,,,7.156,5.413,4.955,1.422,,,,,,,71,A Felnhofer; OD Kothgassner; M Schmidt�,2015,International journal of��,Elsevier,https://www.sciencedirect.com/science/article/pii/S1071581915000981,https://scholar.google.com/scholar?cites=13346451287724144593&as_sdt=2005&sciodt=0;5&hl=en,20,43628,,,,,,,,,71,17.75,18,4,4,YES,Emotion,Unknown Scale,3.21,0.229285714,TRUE,3.08,0.5,-1.12,0.75,0.616,0.125,-0.28,0.75,3D Graphics - HMD VR
44,45,117,Effects of personal relevance and simulated darkness on the affective appraisal of a virtual environment,"Affective appraisal, Virtual environment, Fear of darkness, Emotion, Personal relevance",72,0,72,12,32,22.2,2.9,3D Graphics - Monoscopic,Unknown,"Healthcare and clinical therapies,Social Science and psychology",Fear of darkness,Not Mentioned,Not Sure,,,1,Study 1,10,72,,,,,,,between-subject,each component,/Mean/SD/,Other,After,No,ANOVA,,,4,-33,Simulated lightingxFictitious task,DarknessxDarkness,Yes,12,,,,,,0.62,-0.15,-0.25,0.42,,1.16,1.19,0.93,1.44,,,,,,,3,A Toet; JM Houtkamp; PE Vreugdenhil,2016,PeerJ,peerj.com,https://peerj.com/articles/1743/?utm_source=TrendMD&utm_campaign=PeerJ_TrendMD_1&utm_medium=TrendMD,https://scholar.google.com/scholar?cites=2623486685510651979&as_sdt=2005&sciodt=0;5&hl=en,199,43628,HTML,,,,,,,,3,1,1,3,3,YES,Fear,Unknown Scale,1.5,0.107142857,TRUE,3.1,-0.6,-1,0.42,0.62,-0.15,-0.25,0.42,3D Graphics - Monoscopic
122,130,310,Effects of simulated darkness on the affective appraisal of a virtual environment,,72,,,17,32,22.2,2.9,3D Graphics - Monoscopic,Stereo sound,"Design and visualization,Social Science and psychology",1,Not Mentioned,Not Sure,,,1,Study 1,10,72,,,,,,,between-subject,each component,/Mean/SD/,Other,After,No,MANOVA,,,2,6,Condition,N/N,No,12,,,,,,3.62,2.85,2.75,3.42,,1.16,1.19,0.93,1.44,,,,,,,0,A Toet; JM Houtkamp; PE Vreugdenhil,2015,PeerJ PrePrints,peerj.com,https://peerj.com/preprints/1456,,336,43676,,,,,,,,,0,0,0,3,,YES,Simulated darkness,Unknown Scale,1.5,0.107142857,TRUE,3.1,-0.6,-1,0.42,0.62,-0.15,-0.25,0.42,3D Graphics - Monoscopic
27,28,63,Representation of patients' hand modulates fear reactions of patients with spider phobia in virtual reality,"virtual reality, presence, immersion, perception, fear, specific phobia",64,,,,,,,3D Graphics - HMD VR,Unknown,"Healthcare and clinical therapies,Social Science and psychology",Phobia,Not Mentioned,Not Sure,,,1,Study 1,47,64,0/,32/,18/,30/,22.75/,2.72,between-subject,each component,/Mean/SD/,Other,After,No,ANOVA,,,4,6,GroupxCondition,PatientxPerception,Yes,32,,,,,,3.63,2.88,3.56,4.13,,0.47,0.9,0.77,1.31,,,,,,,10,HM Peperkorn; JE Diemer; GW Alpers�,2016,Frontiers in��,frontiersin.org,https://www.frontiersin.org/articles/10.3389/fpsyg.2016.00268,https://scholar.google.com/scholar?cites=4840287585176633007&as_sdt=2005&sciodt=0;5&hl=en,87,43628,HTML,,,,,,,,10,3.33,3,4,3,YES,,,4.91,0.350714286,TRUE,3.15,-0.48,2.24,1.13,0.63,-0.12,0.56,1.13,3D Graphics - HMD VR
27,28,64,Representation of patients' hand modulates fear reactions of patients with spider phobia in virtual reality,"virtual reality, presence, immersion, perception, fear, specific phobia",64,,,,,,,3D Graphics - HMD VR,Unknown,"Healthcare and clinical therapies,Social Science and psychology",Phobia,Not Mentioned,Not Sure,,,1,Study 1,47,64,0/,32/,18/,30/,22.75/,2.72,between-subject,each component,/Mean/SD/,Other,After,No,ANOVA,,,4,6,GroupxCondition,PatientxInformation,Yes,32,,,,,,3.63,2.22,2.94,4.25,,0.66,0.65,0.7,1.57,,,,,,,10,HM Peperkorn; JE Diemer; GW Alpers�,2016,Frontiers in��,frontiersin.org,https://www.frontiersin.org/articles/10.3389/fpsyg.2016.00268,https://scholar.google.com/scholar?cites=4840287585176633007&as_sdt=2005&sciodt=0;5&hl=en,87,43628,HTML,,,,,,,,10,3.33,3,4,3,YES,,,-0.21,-0.015,TRUE,3.15,-3.12,-0.24,1.25,0.63,-0.78,-0.06,1.25,3D Graphics - HMD VR
